Sentiment_Contrast,File
1.727272727272727,d
2.3043478260869565,d
1.391304347826087,d
1.6363636363636365,d
1.0,d
1.0,d
2.0,d
1.0,d
1.0,d
1.5,d
2.0,d
0.5,d
0.3333333333333333,d
4.0,d
1.5,d
2.0,d
2.0,d
0.0,d
1.5,d
2.0,d
1.0,d
1.0,d
1.0,d
2.0,d
2.0,d
2.0,d
1.0,d
-1.0,d
0.6666666666666666,d
2.0,d
0.0,d
0.0,d
1.0,d
1.5,d
0.5,d
1.0,d
0.5,d
0.0,d
1.5,d
1.0,d
2.0,d
0.5,d
0.0,d
1.0,d
1.0,d
1.0,d
3.0,d
2.0,d
1.5,d
0.0,d
0.5,d
2.0,d
2.0,d
3.0,d
1.0,d
2.0,d
2.0,d
1.5,d
2.0,d
2.0,d
2.0,d
1.3333333333333333,d
1.0,d
0.5,d
1.0,d
1.0,d
0.0,d
1.5,d
1.0,d
0.4285714285714285,d
0.5,d
1.5,d
2.5,d
1.0,d
3.0,d
1.0,d
1.5999999999999999,d
1.0,d
0.5,d
1.0,d
0.5,d
1.5,d
2.0,d
2.0,d
1.0,d
0.0,d
1.0,d
1.0,d
0.5,d
0.0,d
1.0,d
0.0,d
2.0,d
0.0,d
0.0,d
2.0,d
1.0,d
1.75,d
1.0,d
0.5,d
1.0,d
0.0,d
1.0,d
0.0,d
2.0,d
0.0,d
1.0,d
2.0,d
0.0,d
0.5,d
2.0,d
0.5,d
2.0,d
0.0,d
0.0,d
1.0,d
0.0,d
0.5,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.5,d
2.0,d
1.0,d
0.5,d
0.0,d
1.0,d
1.0,d
0.0,d
0.0,d
1.0,d
2.0,d
0.0,d
1.5,d
0.0,d
2.0,d
1.0,d
0.0,d
1.0,d
0.0,d
0.0,d
3.0,d
0.0,d
0.0,d
0.0,d
2.0,d
3.0,d
0.0,d
0.5,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
3.0,d
1.0,d
0.0,d
0.0,d
0.0,d
1.0,d
0.0,d
2.0,d
0.0,d
0.0,d
0.0,d
0.0,d
0.0,d
2.0,d
1.0,d
2.0,d
1.0,d
1.0,d
0.5,d
1.0,d
0.0,d
2.0,d
0.0,d
0.0,d
0.0,d
0.0,d
1.0,d
2.0,d
