Biden_Sentiment,Trump_Sentiment
-0.0909090909090909,-0.5454545454545454
-0.4090909090909091,0.4545454545454545
0.2727272727272727,-0.9090909090909092
-1.0,1.0869565217391304
-0.1428571428571428,0.2142857142857142
-0.6,0.6
-0.6666666666666666,0.3333333333333333
0.0,-0.3333333333333333
0.0,-0.5
-0.25,-0.75
0.0,-0.5
0.0,-0.5
0.3333333333333333,-1.3333333333333333
0.0,0.0
-0.25,0.75
-0.25,-0.25
0.0,-0.25
0.0,0.25
-1.25,1.75
0.0,-0.8
-0.75,1.25
-1.25,1.5
-0.5,1.0
-0.5,0.5
0.0,-1.0
0.0,-0.5
0.0,-0.25
-0.2,-0.2
-0.25,0.5
-0.25,0.25
0.0,-0.3333333333333333
0.0,-1.3333333333333333
-1.3333333333333333,1.6666666666666667
0.0,0.0
0.0,-0.6
-0.5,0.5
0.0,0.0
0.0,-1.0
0.0,-0.25
-0.2,0.4
-0.6666666666666666,0.6666666666666666
0.0,0.0
-0.75,0.5
0.0,-0.3333333333333333
0.0,0.25
0.25,-0.75
0.0,-0.5
-1.6666666666666667,1.3333333333333333
0.3333333333333333,-0.3333333333333333
0.0,-0.3333333333333333
0.0,-0.75
-0.5,0.0
0.75,-0.75
-0.3333333333333333,0.3333333333333333
0.0,-0.6666666666666666
-1.2,1.6
-0.3333333333333333,0.3333333333333333
0.25,-1.0
0.5,-0.5
-0.75,0.75
0.0,-0.5
0.0,-0.6666666666666666
0.0,0.0
0.75,-0.75
0.25,0.0
0.0,-1.0
0.0,-0.5
0.0,0.3333333333333333
-0.6666666666666666,1.0
-0.3333333333333333,0.3333333333333333
-0.5,0.0
-0.4,0.2
0.75,-0.75
0.0,-0.25
0.0,-0.6666666666666666
0.3333333333333333,-0.3333333333333333
0.0,-1.0
0.0,0.25
-0.4,0.2
-0.25,1.0
0.0,-0.3333333333333333
0.0,-0.25
0.0,-1.25
-0.4,0.0
0.0,0.75
0.0,-0.75
0.0,-0.5
-0.5,0.5
-0.25,0.0
0.0,-1.0
0.0,1.0
0.25,-0.75
0.0,-1.25
-0.5,1.0
0.0,-1.3333333333333333
0.0,-1.0
0.25,-0.25
-0.3333333333333333,-0.6666666666666666
-0.25,0.5
-0.6666666666666666,1.3333333333333333
0.0,-1.0
0.0,1.0
-1.0,1.25
0.0,-0.75
-0.25,0.25
-0.25,0.25
-0.3333333333333333,1.3333333333333333
0.0,0.0
0.0,-0.25
0.0,-0.6666666666666666
0.0,-0.25
0.0,1.0
-0.25,1.0
0.0,-0.25
-0.5,-1.0
-1.0,1.0
0.0,-1.25
0.0,-1.0
0.0,-1.0
0.0,-0.6666666666666666
0.3333333333333333,0.0
0.0,-0.75
0.0,0.0
0.0,-0.25
0.0,-0.4
0.0,-0.6666666666666666
0.0,-0.25
-0.25,-0.75
0.0,-0.6666666666666666
-1.0,1.25
0.0,-1.3333333333333333
0.5,-1.0
0.2,-0.8
-0.6666666666666666,1.0
0.3333333333333333,0.0
0.0,0.5
-0.5,-1.0
0.0,0.0
0.5,-0.5
0.0,-1.0
-0.5882352941176471,0.8235294117647058
-0.0476190476190476,-0.5238095238095238
0.125,-0.375
-0.75,0.75
0.0,0.0
0.0,0.0
-1.0,0.3333333333333333
0.0,0.0
0.0,0.0
0.0,-1.5
0.0,0.3333333333333333
0.0,0.75
-0.3333333333333333,0.0
0.0,0.0
0.25,0.25
-2.0,1.6666666666666667
-0.8,1.6
-0.1428571428571428,0.2857142857142857
0.0,-0.6666666666666666
0.0,1.0
-0.6666666666666666,1.0
0.3333333333333333,-0.6666666666666666
0.0,-1.0
0.25,-0.75
-0.3333333333333333,-0.6666666666666666
-0.3333333333333333,0.6666666666666666
-0.3333333333333333,0.6666666666666666
-0.2,-0.2
0.25,-0.5
-0.25,-1.25
-0.6666666666666666,0.6666666666666666
0.0,0.5
0.0,-0.6666666666666666
0.0,-0.5
0.0,-0.4
0.0,0.75
0.0,-0.6666666666666666
0.0,-1.0
-1.25,1.5
0.0,-1.0
0.0,-0.5
0.0,-1.0
0.0,-1.0
-0.6666666666666666,0.0
0.0,-1.0
0.0,-1.0
0.0,-1.0
0.3333333333333333,-1.0
0.0,0.0
0.0,-0.5
0.0,-0.25
0.0,-0.3333333333333333
0.0,0.0
-0.6666666666666666,-0.6666666666666666
-0.4,0.8
-0.4444444444444444,0.8888888888888888
0.0,-0.6666666666666666
-1.0,1.0
0.6666666666666666,-1.0
0.0,-1.0
0.0,-0.5
0.0,1.3333333333333333
-0.4,0.4
0.0,-0.5
-1.25,1.5
-0.25,0.75
0.25,-0.5
0.0,-0.25
-0.5,0.5
0.1739130434782608,-0.6956521739130435
-0.0454545454545454,-0.3181818181818182
-0.2,-1.4
0.0,0.0
0.0,-1.3333333333333333
-1.25,1.25
-0.6666666666666666,1.0
-1.0,1.5
-0.5,1.0
-1.25,1.25
0.0,0.25
-1.0,1.0
0.0,-0.8
0.0,0.0
0.25,-1.5
-1.0,0.3333333333333333
-0.2,-0.8
0.0,-1.0
0.0,-0.3333333333333333
-0.25,-0.25
-0.2,-0.2
-0.25,0.25
0.0,0.6666666666666666
0.0,0.5
-0.5,0.25
-0.1428571428571428,-0.1428571428571428
0.0,0.0
-0.25,0.0
-0.25,0.5
-1.0,-0.75
0.0,1.0
0.0,-1.0
0.0,-0.3333333333333333
