Biden_Sentiment,Trump_Sentiment
0.45454545454545453,-1.2727272727272727
0.5652173913043478,-1.7391304347826086
0.34782608695652173,-1.0434782608695652
0.0,-1.6363636363636365
0.0,-1.0
0.0,-1.0
0.0,-2.0
1.0,0.0
0.0,-1.0
0.5,-1.0
0.0,-2.0
0.0,-0.5
0.0,-0.3333333333333333
2.0,-2.0
0.0,-1.5
0.75,-1.25
0.0,-2.0
0.0,0.0
0.0,-1.5
0.5,-1.5
0.0,-1.0
0.0,-1.0
0.0,-1.0
0.0,-2.0
0.0,-2.0
1.0,-1.0
0.0,-1.0
0.0,1.0
0.0,-0.6666666666666666
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,-1.5
0.0,-0.5
0.0,-1.0
0.0,-0.5
0.0,0.0
0.0,-1.5
0.0,-1.0
1.0,-1.0
0.0,-0.5
0.0,0.0
1.0,0.0
0.0,-1.0
0.0,-1.0
2.0,-1.0
0.0,-2.0
0.0,-1.5
0.0,0.0
0.0,-0.5
1.0,-1.0
0.5,-1.5
1.0,-2.0
0.0,-1.0
0.0,-2.0
0.0,-2.0
0.0,-1.5
0.6666666666666666,-1.3333333333333333
0.0,-2.0
0.0,-2.0
0.6666666666666666,-0.6666666666666666
0.0,-1.0
0.0,-0.5
0.0,-1.0
0.0,-1.0
0.0,0.0
0.5,-1.0
0.0,-1.0
0.0,-0.42857142857142855
0.0,-0.5
0.5,-1.0
0.5,-2.0
0.0,-1.0
1.0,-2.0
0.0,-1.0
0.2,-1.4
0.0,-1.0
0.0,-0.5
0.0,-1.0
0.0,-0.5
0.0,-1.5
0.0,-2.0
0.0,-2.0
0.0,-1.0
0.0,0.0
0.0,-1.0
0.0,-1.0
0.0,-0.5
0.0,0.0
0.0,-1.0
0.0,0.0
1.0,-1.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,-1.0
0.0,-1.75
0.0,-1.0
0.0,-0.5
0.0,-1.0
0.0,0.0
0.0,-1.0
0.0,0.0
1.0,-1.0
0.0,0.0
1.0,0.0
0.0,-2.0
0.0,0.0
0.5,0.0
0.0,-2.0
0.0,-0.5
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,0.0
0.0,-0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-1.0,-1.0
0.0,0.0
0.5,0.0
0.0,-2.0
0.0,-1.0
0.0,-0.5
0.0,0.0
0.0,-1.0
0.0,-1.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,-2.0
0.0,0.0
0.0,-1.5
0.0,0.0
0.0,-2.0
0.0,-1.0
0.0,0.0
0.0,-1.0
0.0,0.0
0.0,0.0
2.0,-1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
2.0,-1.0
0.0,0.0
0.0,-0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,-1.0
0.3333333333333333,-0.6666666666666666
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,0.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,-1.0
1.0,-1.0
0.0,-1.0
1.0,0.0
0.0,-0.5
0.0,-1.0
0.0,0.0
2.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,0.0
0.0,-2.0
0.0,-1.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,-0.5
0.0,-2.0
0.0,0.0
1.0,-1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
1.0,-1.0
0.6666666666666666,-1.0
0.0,0.0
0.0,0.0
0.5,-2.0
0.0,0.0
0.0,-1.6666666666666667
0.0,0.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,-1.5
0.0,-2.0
0.3333333333333333,-1.0
-0.5,-0.5
1.0,-2.0
0.0,-2.0
0.0,0.0
0.0,0.0
2.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.5,-1.0
0.0,0.0
1.0,-2.0
0.0,0.0
