Biden_Sentiment,Trump_Sentiment
0.6666666666666666,-1.3333333333333333
0.6666666666666666,-1.3333333333333333
0.0,-1.0
0.0,-1.0
0.0,-2.0
0.0,-2.0
0.0,-1.5
0.5,-2.0
0.0,-1.0
0.0,-1.5
0.5,-2.0
0.0,-0.5
0.3333333333333333,-1.0
1.0,-1.5
0.0,-1.3333333333333333
0.0,-1.5
0.0,-2.0
0.0,-1.0
0.5,-1.625
0.3333333333333333,-2.0
0.75,-1.5
0.0,-0.5
0.0,-2.0
0.0,-2.0
0.5,-2.0
1.0,-2.0
0.0,-0.5
0.0,-2.0
0.0,-1.0
0.0,-0.5
0.0,-1.0
0.0,-1.0
0.0,-1.0
0.5,-1.5
0.0,-1.0
0.0,-0.6666666666666666
2.0,-2.0
0.0,-1.5
0.0,-1.0
0.0,-1.6428571428571428
0.0,-1.5
0.0,-1.0
0.0,-1.5
0.5,-1.0
0.0,-1.5
0.0,-1.5
2.0,-1.5
0.0,-1.0
0.0,-2.0
0.0,-2.0
1.0,-1.0
1.0,-2.0
0.0,-1.5
0.0,-2.0
0.0,-0.5
0.0,-2.0
2.0,-2.0
0.0,-1.5
0.0,-0.5
0.0,-1.5
0.0,-2.0
1.0,-1.5
2.0,-1.0
0.0,-1.5
0.0,-0.6666666666666666
0.0,-1.0
0.0,-1.0
0.0,-2.0
0.5,-1.0
0.0,-1.5
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,-1.5
0.5,-0.5
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,-2.0
0.0,-1.0
0.0,0.0
0.0,-2.0
0.0,0.0
0.0,-1.5
0.0,-1.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
2.0,-2.0
0.0,0.0
0.0,-1.0
0.0,-1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,-2.0
0.0,0.0
0.0,-2.0
0.0,-1.0
0.0,0.0
0.0,0.0
1.0,-2.0
0.0,-1.0
1.0,-1.5
1.0,-1.0
0.0,-1.5
0.0,-2.0
0.0,0.0
0.0,0.0
2.0,-2.0
0.0,-1.0
0.0,0.0
0.0,0.0
2.0,-2.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6666666666666666,-1.3333333333333333
0.3333333333333333,-1.6666666666666667
0.0,-1.0
0.0,-1.0
0.0,-1.0
0.0,-1.5
0.0,-1.0
0.0,-2.0
0.0,-2.0
0.0,-1.3333333333333333
0.0,-1.0
0.0,-1.0
1.0,-2.0
0.0,-1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,-2.0
0.0,0.0
2.0,-2.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,-0.5
0.0,-1.0
0.0,-2.0
0.0,0.0
0.0,-2.0
0.0,0.0
0.0,-1.0
0.0,-0.5
0.0,0.0
0.0,0.0
1.0,-1.0
0.0,-1.0
0.0,0.0
0.0,-0.5
0.0,-1.0
2.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.5,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,-1.0
1.5,-1.0
0.0,-0.5
0.0,-2.0
0.0,-2.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.0
0.0,0.0
0.0,-2.0
1.0,-0.5
0.0,0.0
0.0,-1.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,-1.0
0.0,-1.0
0.0,-1.0
0.5,-1.0
0.0,-1.5
0.3333333333333333,-1.3333333333333333
0.0,-2.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.0
0.0,0.0
0.0,-1.0
0.0,0.0
0.0,-1.0
2.0,-2.0
0.0,-2.0
0.0,0.0
0.0,0.0
0.0,-1.5
0.5,0.0
1.5,-0.5
0.0,-1.6666666666666667
0.0,-1.0
0.0,-1.0
0.0,0.0
0.0,-1.0
0.0,-2.0
0.6666666666666666,-1.0
0.0,0.0
0.0,-2.0
